Customer ID,Size,Color,Season,Category,email_engagement_status,activation_status,Previous Purchases,Purchase Amount (USD),Discount Applied,Promo Code Used,Frequency of Purchases,Age,Cluster
249,m,blue,winter,accessories,not_click,,33,100,yes,yes,weekly,47,1
250,s,teal,fall,accessories,clicked,purchased,18,47,yes,yes,annually,53,0
253,m,violet,summer,clothing,clicked,purchased,33,41,yes,yes,fortnightly,32,2
254,l,cyan,winter,footwear,clicked,only_searched,15,73,yes,yes,bi-weekly,52,3
256,m,charcoal,spring,accessories,clicked,purchased,25,20,yes,yes,annually,43,0
257,xl,violet,spring,accessories,not_open,not_activated,20,30,yes,yes,every 3 months,58,0
260,m,gold,fall,clothing,clicked,added_to_cart,13,57,yes,yes,annually,32,0
261,s,red,winter,accessories,not_click,,11,57,yes,yes,every 3 months,38,0
263,m,teal,summer,clothing,clicked,purchased,6,40,yes,yes,annually,37,0
264,m,purple,summer,clothing,clicked,only_searched,29,46,yes,yes,monthly,27,2
265,s,charcoal,fall,clothing,clicked,purchased,15,78,yes,yes,annually,36,3
266,m,gray,spring,accessories,not_click,,17,59,yes,yes,bi-weekly,32,3
267,l,white,summer,accessories,clicked,purchased,32,75,yes,yes,weekly,51,1
271,xl,orange,fall,clothing,clicked,added_to_cart,16,52,yes,yes,annually,33,0
273,m,beige,summer,accessories,not_click,,37,26,yes,yes,bi-weekly,48,2
276,xl,lavender,winter,accessories,not_click,,13,85,yes,yes,weekly,48,3
278,m,green,winter,clothing,clicked,purchased,36,29,yes,yes,bi-weekly,29,2
279,m,orange,spring,clothing,not_click,,23,95,yes,yes,annually,57,1
282,xl,charcoal,spring,accessories,not_open,not_activated,22,61,yes,yes,bi-weekly,38,3
284,s,maroon,fall,clothing,clicked,added_to_cart,16,30,yes,yes,annually,32,0
286,xl,yellow,summer,accessories,clicked,added_to_cart,3,39,yes,yes,bi-weekly,29,0
287,l,gray,summer,accessories,not_open,not_activated,6,51,yes,yes,annually,27,0
288,l,blue,spring,accessories,clicked,only_searched,18,37,yes,yes,fortnightly,56,0
289,m,lavender,winter,clothing,clicked,purchased,34,62,yes,yes,bi-weekly,30,1
290,m,yellow,fall,outerwear,clicked,purchased,26,85,yes,yes,monthly,49,1
291,m,indigo,winter,clothing,clicked,only_searched,50,33,yes,yes,weekly,58,2
292,xl,violet,fall,clothing,not_click,,40,26,yes,yes,monthly,57,2
296,m,indigo,winter,accessories,clicked,purchased,24,42,yes,yes,quarterly,53,0
298,xl,purple,summer,footwear,not_click,,4,26,yes,yes,bi-weekly,48,0
301,m,teal,spring,accessories,clicked,purchased,24,98,yes,yes,weekly,29,1
302,m,green,spring,clothing,clicked,added_to_cart,25,95,yes,yes,every 3 months,46,1
305,m,green,winter,clothing,clicked,only_searched,45,84,yes,yes,bi-weekly,40,1
307,s,white,summer,outerwear,clicked,only_searched,4,49,yes,yes,annually,26,0
308,m,orange,winter,accessories,clicked,added_to_cart,3,32,yes,yes,every 3 months,29,0
311,m,charcoal,winter,clothing,not_click,,50,85,yes,yes,fortnightly,56,1
313,l,green,spring,clothing,clicked,purchased,6,89,yes,yes,annually,38,3
314,m,pink,spring,clothing,clicked,added_to_cart,50,77,yes,yes,every 3 months,42,1
317,m,charcoal,fall,accessories,clicked,purchased,46,22,yes,yes,monthly,36,2
318,l,teal,fall,clothing,not_open,not_activated,42,82,yes,yes,every 3 months,58,1
319,m,beige,winter,accessories,clicked,purchased,10,67,yes,yes,annually,45,3
320,xl,white,spring,clothing,not_click,,1,74,yes,yes,every 3 months,47,3
323,s,cyan,winter,accessories,clicked,only_searched,47,95,yes,yes,monthly,41,1
325,m,olive,summer,clothing,not_open,not_activated,37,82,yes,yes,quarterly,37,1
329,m,yellow,fall,outerwear,not_click,,9,50,yes,yes,weekly,48,0
331,m,beige,winter,clothing,not_open,not_activated,43,51,yes,yes,bi-weekly,46,2
332,l,beige,fall,clothing,not_click,,46,98,yes,yes,quarterly,31,1
334,m,teal,winter,clothing,not_click,,15,64,yes,yes,bi-weekly,39,3
337,s,orange,fall,accessories,not_click,,16,81,yes,yes,annually,36,3
340,m,teal,spring,clothing,not_open,not_activated,21,33,yes,yes,every 3 months,40,0
341,l,blue,summer,clothing,clicked,purchased,39,47,yes,yes,every 3 months,40,2
344,m,purple,summer,footwear,not_click,,26,39,yes,yes,monthly,27,0
346,s,olive,winter,footwear,clicked,added_to_cart,27,59,yes,yes,annually,48,2
347,l,violet,spring,clothing,clicked,added_to_cart,5,50,yes,yes,weekly,49,0
349,m,beige,fall,clothing,clicked,purchased,17,59,yes,yes,fortnightly,56,3
350,m,green,winter,accessories,not_click,,3,87,yes,yes,bi-weekly,37,3
351,m,violet,spring,clothing,not_click,,47,68,yes,yes,fortnightly,42,1
352,m,teal,winter,clothing,clicked,only_searched,24,90,yes,yes,bi-weekly,28,1
353,xl,yellow,fall,clothing,not_click,,12,71,yes,yes,every 3 months,27,3
356,xl,magenta,fall,accessories,not_click,,1,42,yes,yes,every 3 months,37,0
357,l,black,spring,clothing,not_open,not_activated,27,80,yes,yes,weekly,56,1
360,m,olive,winter,footwear,clicked,purchased,30,74,yes,yes,every 3 months,31,1
361,m,teal,summer,clothing,not_open,not_activated,18,30,yes,yes,fortnightly,51,0
363,m,charcoal,fall,footwear,clicked,only_searched,1,64,yes,yes,fortnightly,53,3
364,l,yellow,winter,clothing,clicked,only_searched,42,88,yes,yes,fortnightly,55,1
366,xl,gray,summer,accessories,not_click,,50,88,yes,yes,quarterly,55,1
370,m,silver,summer,accessories,not_open,not_activated,45,40,yes,yes,quarterly,38,2
371,m,olive,winter,accessories,not_open,not_activated,13,34,yes,yes,weekly,59,0
372,s,pink,winter,footwear,clicked,only_searched,47,83,yes,yes,monthly,27,1
376,m,olive,summer,accessories,not_open,not_activated,6,32,yes,yes,quarterly,59,0
377,s,gray,fall,footwear,clicked,only_searched,2,51,yes,yes,bi-weekly,51,0
380,s,magenta,fall,clothing,clicked,purchased,46,29,yes,yes,bi-weekly,32,2
381,xl,beige,fall,accessories,clicked,only_searched,19,69,yes,yes,weekly,39,3
383,m,peach,winter,clothing,clicked,added_to_cart,47,76,yes,yes,quarterly,28,1
384,s,magenta,fall,accessories,not_open,not_activated,6,77,yes,yes,quarterly,50,3
388,l,silver,summer,outerwear,clicked,purchased,38,93,yes,yes,fortnightly,45,1
390,l,purple,spring,footwear,not_click,,28,42,yes,yes,monthly,27,2
392,l,gray,spring,clothing,clicked,purchased,25,86,yes,yes,fortnightly,37,1
395,m,beige,spring,accessories,not_click,,7,29,yes,yes,bi-weekly,43,0
401,m,green,winter,footwear,not_open,not_activated,14,66,yes,yes,fortnightly,39,3
403,l,cyan,fall,accessories,clicked,purchased,26,78,yes,yes,monthly,31,1
405,m,indigo,spring,clothing,clicked,added_to_cart,11,93,yes,yes,monthly,35,3
406,s,silver,summer,clothing,clicked,only_searched,15,74,yes,yes,annually,41,3
407,m,peach,spring,accessories,not_click,,13,55,yes,yes,monthly,52,0
408,xl,teal,spring,clothing,clicked,added_to_cart,5,76,yes,yes,bi-weekly,45,3
409,l,white,spring,footwear,not_click,,36,66,yes,yes,fortnightly,34,1
410,m,brown,winter,clothing,not_open,not_activated,32,51,yes,yes,monthly,35,2
411,l,lavender,spring,clothing,clicked,only_searched,1,26,yes,yes,quarterly,29,0
412,m,indigo,summer,clothing,clicked,purchased,15,29,yes,yes,annually,59,0
415,l,violet,winter,accessories,not_open,not_activated,30,88,yes,yes,weekly,29,1
417,l,olive,spring,accessories,clicked,only_searched,24,55,yes,yes,fortnightly,36,0
420,s,teal,winter,clothing,clicked,purchased,14,91,yes,yes,every 3 months,53,3
422,m,violet,winter,clothing,clicked,purchased,48,40,yes,yes,bi-weekly,38,2
424,l,teal,spring,accessories,not_open,not_activated,21,26,yes,yes,bi-weekly,46,0
427,m,violet,winter,clothing,clicked,only_searched,19,71,yes,yes,quarterly,43,3
433,s,indigo,fall,clothing,not_click,,26,86,yes,yes,weekly,47,1
434,m,orange,fall,clothing,not_click,,23,92,yes,yes,fortnightly,49,3
436,xl,olive,winter,outerwear,clicked,only_searched,42,28,yes,yes,monthly,51,2
437,l,cyan,summer,clothing,not_click,,41,46,yes,yes,weekly,40,2
438,m,peach,summer,accessories,clicked,added_to_cart,41,50,yes,yes,annually,45,2
442,m,maroon,winter,clothing,clicked,purchased,32,81,yes,yes,annually,43,1
443,m,olive,fall,accessories,not_click,,31,69,yes,yes,quarterly,29,1
445,m,red,summer,clothing,not_click,,31,20,yes,yes,annually,48,2
449,m,yellow,summer,accessories,not_open,not_activated,35,23,yes,yes,fortnightly,32,2
450,l,peach,summer,accessories,not_open,not_activated,35,45,yes,yes,monthly,26,2
453,m,violet,summer,clothing,clicked,added_to_cart,39,45,yes,yes,fortnightly,45,2
455,s,gold,summer,outerwear,not_click,,14,97,yes,yes,bi-weekly,37,3
457,s,indigo,fall,clothing,clicked,only_searched,33,96,yes,yes,quarterly,50,1
459,l,black,winter,clothing,not_click,,48,91,yes,yes,monthly,47,1
463,m,white,fall,outerwear,clicked,only_searched,48,81,yes,yes,every 3 months,59,1
464,s,orange,summer,accessories,clicked,purchased,29,81,yes,yes,weekly,37,1
466,m,pink,summer,clothing,clicked,purchased,25,88,yes,yes,quarterly,54,1
469,s,peach,fall,accessories,not_open,not_activated,16,38,yes,yes,quarterly,34,0
471,l,teal,summer,clothing,not_click,,6,63,yes,yes,every 3 months,50,3
472,xl,white,winter,accessories,clicked,only_searched,36,72,yes,yes,quarterly,55,1
474,l,olive,spring,outerwear,clicked,only_searched,29,42,yes,yes,every 3 months,34,2
479,xl,turquoise,winter,accessories,clicked,purchased,48,43,yes,yes,annually,35,2
480,l,yellow,winter,accessories,clicked,purchased,43,84,yes,yes,monthly,39,1
483,m,yellow,winter,accessories,not_open,not_activated,11,42,yes,yes,annually,41,0
486,s,blue,spring,footwear,not_click,,36,44,yes,yes,fortnightly,48,2
487,m,charcoal,fall,footwear,clicked,purchased,37,63,yes,yes,every 3 months,38,1
488,l,red,winter,outerwear,not_open,not_activated,22,68,yes,yes,quarterly,41,3
491,m,silver,winter,footwear,not_click,,47,42,yes,yes,monthly,57,2
492,m,silver,summer,outerwear,not_click,,24,69,yes,yes,bi-weekly,49,3
494,xl,red,summer,accessories,not_click,,19,48,yes,yes,bi-weekly,28,0
495,m,indigo,winter,footwear,clicked,only_searched,42,68,yes,yes,weekly,38,1
497,s,maroon,fall,clothing,clicked,only_searched,31,63,yes,yes,fortnightly,30,1
498,s,silver,winter,footwear,clicked,added_to_cart,31,39,yes,yes,weekly,43,2
499,m,lavender,spring,footwear,clicked,purchased,27,78,yes,yes,monthly,43,1
500,l,silver,winter,footwear,clicked,added_to_cart,24,99,yes,yes,monthly,36,1
503,s,cyan,fall,clothing,not_click,,8,30,yes,yes,fortnightly,59,0
505,m,maroon,winter,footwear,clicked,only_searched,26,22,yes,yes,annually,42,0
507,m,olive,fall,accessories,not_click,,48,40,yes,yes,annually,28,2
510,l,cyan,summer,clothing,clicked,purchased,17,80,yes,yes,weekly,41,3
517,l,indigo,fall,clothing,not_click,,19,41,yes,yes,bi-weekly,34,0
521,m,white,spring,accessories,not_click,,20,84,yes,yes,quarterly,51,3
524,m,orange,spring,footwear,clicked,purchased,5,40,yes,yes,quarterly,46,0
526,m,cyan,spring,outerwear,clicked,only_searched,41,37,yes,yes,monthly,51,2
527,s,red,winter,clothing,clicked,only_searched,19,52,yes,yes,monthly,51,0
529,s,beige,winter,footwear,clicked,only_searched,40,88,yes,yes,annually,34,1
530,m,orange,fall,clothing,clicked,purchased,6,84,yes,yes,monthly,32,3
531,xl,magenta,winter,outerwear,clicked,purchased,25,37,yes,yes,bi-weekly,48,0
533,l,black,winter,clothing,clicked,purchased,35,76,yes,yes,every 3 months,26,1
536,l,maroon,spring,clothing,clicked,purchased,24,45,yes,yes,weekly,56,0
537,s,maroon,fall,outerwear,clicked,only_searched,16,84,yes,yes,every 3 months,44,3
538,s,turquoise,summer,clothing,clicked,added_to_cart,14,49,yes,yes,annually,50,0
539,xl,green,spring,clothing,clicked,added_to_cart,43,22,yes,yes,weekly,27,2
540,m,violet,winter,outerwear,clicked,added_to_cart,49,48,yes,yes,weekly,49,2
541,m,lavender,spring,clothing,not_click,,33,37,yes,yes,every 3 months,49,2
542,l,gray,fall,outerwear,not_click,,45,27,yes,yes,bi-weekly,52,2
543,xl,teal,spring,footwear,clicked,purchased,35,79,yes,yes,bi-weekly,27,1
544,s,red,spring,clothing,not_click,,11,98,yes,yes,monthly,53,3
545,s,yellow,summer,footwear,clicked,only_searched,30,64,yes,yes,every 3 months,34,1
546,l,magenta,summer,outerwear,clicked,purchased,48,32,yes,yes,annually,33,2
549,m,black,winter,accessories,clicked,only_searched,41,64,yes,yes,every 3 months,36,1
552,xl,green,fall,outerwear,not_click,,27,78,yes,yes,bi-weekly,29,1
555,m,red,summer,footwear,not_click,,34,47,yes,yes,weekly,56,2
559,l,teal,fall,footwear,clicked,added_to_cart,43,77,yes,yes,every 3 months,50,1
563,m,blue,summer,clothing,not_click,,40,62,yes,yes,annually,53,1
566,l,lavender,fall,accessories,clicked,purchased,10,43,yes,yes,weekly,59,0
567,m,indigo,spring,footwear,not_open,not_activated,1,93,yes,yes,fortnightly,55,3
569,l,red,summer,clothing,clicked,only_searched,36,88,yes,yes,monthly,44,1
573,xl,cyan,summer,accessories,not_click,,26,97,yes,yes,annually,56,1
574,m,charcoal,summer,clothing,clicked,only_searched,23,68,yes,yes,bi-weekly,58,3
575,l,red,fall,footwear,clicked,purchased,20,79,yes,yes,bi-weekly,54,3
576,m,peach,fall,clothing,not_click,,38,86,yes,yes,monthly,58,1
577,m,black,winter,accessories,clicked,purchased,5,68,yes,yes,every 3 months,48,3
581,m,orange,spring,clothing,clicked,purchased,10,80,yes,yes,weekly,49,3
582,xl,charcoal,winter,clothing,not_click,,12,100,yes,yes,every 3 months,32,3
587,s,blue,winter,clothing,not_open,not_activated,9,20,yes,yes,annually,45,0
588,s,maroon,fall,clothing,clicked,only_searched,48,86,yes,yes,every 3 months,29,1
589,m,violet,fall,footwear,clicked,only_searched,9,60,yes,yes,quarterly,47,3
590,m,orange,fall,clothing,not_open,not_activated,40,70,yes,yes,annually,28,1
592,l,olive,fall,accessories,not_click,,6,37,yes,yes,bi-weekly,47,0
595,s,brown,winter,clothing,clicked,purchased,6,83,yes,yes,monthly,35,3
604,l,green,winter,accessories,clicked,purchased,26,46,yes,yes,every 3 months,31,2
605,s,pink,fall,accessories,clicked,added_to_cart,11,92,yes,yes,every 3 months,44,3
606,xl,charcoal,winter,accessories,clicked,purchased,17,32,yes,yes,weekly,40,0
608,l,purple,fall,clothing,not_click,,44,23,yes,yes,monthly,47,2
609,s,gold,fall,accessories,not_click,,21,25,yes,yes,every 3 months,41,0
610,l,purple,fall,clothing,clicked,only_searched,49,54,yes,yes,fortnightly,51,2
611,m,charcoal,summer,clothing,clicked,only_searched,27,72,yes,yes,every 3 months,53,1
618,m,maroon,fall,accessories,clicked,purchased,2,57,yes,yes,quarterly,50,0
621,m,black,fall,accessories,not_click,,10,89,yes,yes,every 3 months,33,3
622,s,red,fall,accessories,clicked,purchased,45,27,yes,yes,weekly,51,2
625,xl,pink,fall,clothing,clicked,purchased,21,87,yes,yes,annually,55,3
626,m,red,fall,accessories,not_click,,1,79,yes,yes,weekly,49,3
627,m,indigo,spring,accessories,clicked,purchased,10,79,yes,yes,annually,31,3
630,l,beige,spring,footwear,not_click,,11,90,yes,yes,annually,26,3
631,s,silver,fall,accessories,clicked,purchased,33,94,yes,yes,annually,41,1
633,m,red,winter,accessories,clicked,purchased,19,51,yes,yes,fortnightly,35,0
635,m,teal,summer,footwear,clicked,purchased,46,60,yes,yes,weekly,36,2
637,m,indigo,summer,accessories,not_click,,14,30,yes,yes,every 3 months,41,0
639,s,blue,summer,footwear,not_click,,41,20,yes,yes,monthly,53,2
640,l,olive,spring,clothing,not_open,not_activated,50,24,yes,yes,annually,54,2
642,m,red,winter,clothing,not_click,,23,78,yes,yes,every 3 months,47,3
647,xl,pink,spring,footwear,clicked,only_searched,19,54,yes,yes,bi-weekly,51,0
650,l,orange,spring,clothing,clicked,added_to_cart,33,93,yes,yes,every 3 months,53,1
651,m,magenta,spring,accessories,not_click,,12,40,yes,yes,annually,34,0
652,l,yellow,summer,accessories,not_click,,41,32,yes,yes,fortnightly,32,2
658,m,white,winter,outerwear,clicked,purchased,6,80,yes,yes,quarterly,48,3
661,m,olive,fall,outerwear,clicked,purchased,39,79,yes,yes,quarterly,50,1
662,xl,green,fall,clothing,clicked,purchased,39,68,yes,yes,quarterly,57,1
664,m,charcoal,fall,clothing,clicked,purchased,23,83,yes,yes,monthly,59,3
667,l,turquoise,winter,clothing,not_open,not_activated,30,26,yes,yes,quarterly,35,2
668,s,blue,winter,accessories,clicked,purchased,32,76,yes,yes,quarterly,34,1
669,s,turquoise,fall,clothing,not_click,,35,85,yes,yes,monthly,49,1
670,m,gray,spring,outerwear,clicked,purchased,45,89,yes,yes,bi-weekly,43,1
672,l,black,winter,outerwear,clicked,purchased,45,30,yes,yes,weekly,38,2
673,m,peach,winter,clothing,not_open,not_activated,29,53,yes,yes,quarterly,59,2
674,m,indigo,spring,clothing,clicked,only_searched,27,66,yes,yes,bi-weekly,35,1
675,xl,beige,winter,accessories,clicked,purchased,36,33,yes,yes,annually,48,2
677,m,peach,winter,clothing,clicked,purchased,38,60,yes,yes,bi-weekly,28,2
679,m,teal,fall,clothing,clicked,only_searched,25,74,yes,yes,every 3 months,27,3
680,m,turquoise,fall,footwear,clicked,only_searched,37,95,yes,yes,fortnightly,56,1
681,m,magenta,spring,footwear,clicked,only_searched,3,25,yes,yes,annually,58,0
682,xl,purple,winter,clothing,clicked,purchased,24,59,yes,yes,every 3 months,30,3
684,s,violet,winter,footwear,clicked,added_to_cart,3,36,yes,yes,monthly,33,0
694,l,turquoise,spring,clothing,clicked,purchased,30,52,yes,yes,every 3 months,46,2
696,xl,peach,summer,clothing,clicked,only_searched,15,67,yes,yes,every 3 months,30,3
701,l,olive,winter,clothing,not_click,,5,79,yes,yes,monthly,57,3
702,l,red,fall,footwear,clicked,purchased,5,90,yes,yes,every 3 months,51,3
